Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
0,0,0,LogReg,7,W2,0.2425,0.7575,0.770685579,0.21649999999999997,0.052499999999999956,0.002249999999999963
0,0,0,SVC,7,X,0.19,0.8075,0.805063291,0.28074999999999994,0.06549999999999999,-0.000250000000000028
0,0,0,SVC,7,W1,0.2375,0.7575,0.762836186,0.21299999999999994,0.05924999999999995,0.00024999999999997247
0,0,0,SVC,7,W2,0.23,0.77,0.781990521,0.2245,0.07100000000000004,0.013500000000000045
0,0,0,RF-C,7,X,0.18,0.82,0.819095477,0.29999999999999993,0.08249999999999996,0.020749999999999935
0,0,0,RF-C,7,W1,0.21,0.79,0.797101449,0.24375000000000005,0.09375000000000003,0.03800000000000005
0,0,0,RF-C,7,W2,0.2225,0.7775,0.783454988,0.25375,0.05674999999999995,0.0014999999999999569
0,0,0,XGBoost-C,7,X,0.1725,0.785,0.787128713,0.25875000000000004,0.06325000000000003,0.018750000000000034
0,0,0,XGBoost-C,7,W1,0.22,0.735,0.737623762,0.20350000000000001,0.058999999999999976,-0.004500000000000015
0,0,0,XGBoost-C,7,W2,0.2325,0.7,0.724770642,0.16049999999999995,0.04449999999999995,0.0037499999999999643
0,0,0,MLP-C,7,X,0.185,0.815,0.82038835,0.2919999999999999,0.07349999999999993,0.0007499999999999619
0,0,0,MLP-C,7,W1,0.2325,0.7675,0.776978417,0.23099999999999996,0.058499999999999955,0.005999999999999972
0,0,0,MLP-C,7,W2,0.235,0.765,0.774038462,0.22350000000000003,0.061500000000000034,0.0005000000000000115
0,0,0,LogReg,8,X,0.2025,0.7975,0.798004988,0.26349999999999996,0.042,-0.003000000000000047
0,0,0,LogReg,8,W1,0.2375,0.7625,0.75826972,0.21549999999999994,0.05874999999999995,0.0
0,0,0,LogReg,8,W2,0.265,0.735,0.735,0.18775,0.04199999999999998,0.0012499999999999844
0,0,0,SVC,8,X,0.2025,0.8,0.797979798,0.2612500000000001,0.039500000000000056,-0.005999999999999972
0,0,0,SVC,8,W1,0.24,0.745,0.737113402,0.1975,0.03700000000000001,-0.006000000000000005
0,0,0,SVC,8,W2,0.2625,0.735,0.728205128,0.19024999999999997,0.0395,-0.006500000000000039
0,0,0,RF-C,8,X,0.1875,0.8125,0.813895782,0.28550000000000003,0.044000000000000004,0.005249999999999977
0,0,0,RF-C,8,W1,0.25,0.75,0.736842105,0.205,0.044000000000000004,0.003500000000000003
0,0,0,RF-C,8,W2,0.255,0.745,0.742424242,0.20175,0.05824999999999999,0.01799999999999998
0,0,0,XGBoost-C,8,X,0.19,0.775,0.776119403,0.23825,0.03575000000000002,0.002750000000000008
0,0,0,XGBoost-C,8,W1,0.2425,0.745,0.743718593,0.2,0.05525000000000001,0.005499999999999994
0,0,0,XGBoost-C,8,W2,0.2475,0.7225,0.716112532,0.17350000000000007,0.05850000000000005,0.008000000000000018
0,0,0,MLP-C,8,X,0.1975,0.8025,0.802992519,0.26975,0.04425000000000001,-0.0025000000000000135
0,0,0,MLP-C,8,W1,0.2375,0.7625,0.75826972,0.21524999999999994,0.05874999999999995,0.0
0,0,0,MLP-C,8,W2,0.2575,0.7425,0.744416873,0.197,0.04950000000000006,0.002000000000000046
0,0,0,LogReg,9,X,0.225,0.775,0.772727273,0.21150000000000002,0.07500000000000002,0.0007500000000000174
0,0,0,LogReg,9,W1,0.2475,0.7525,0.745501285,0.19174999999999995,0.08524999999999996,0.005499999999999949
0,0,0,LogReg,9,W2,0.3,0.7,0.698492462,0.13174999999999995,0.08924999999999994,0.005999999999999983
0,0,0,SVC,9,X,0.2325,0.7625,0.755784062,0.20049999999999996,0.06674999999999995,-0.005000000000000016
0,0,0,SVC,9,W1,0.25,0.74,0.726315789,0.17200000000000001,0.07625,-0.00275000000000003
0,0,0,SVC,9,W2,0.3025,0.69,0.691542289,0.12549999999999994,0.07149999999999994,0.003999999999999937
0,0,0,RF-C,9,X,0.2175,0.7825,0.779746835,0.22725,0.09924999999999995,0.017749999999999978
0,0,0,RF-C,9,W1,0.2275,0.7725,0.763636364,0.21099999999999994,0.11024999999999999,0.04624999999999997
0,0,0,RF-C,9,W2,0.2925,0.7075,0.706766917,0.14350000000000002,0.09200000000000001,0.031500000000000014
0,0,0,XGBoost-C,9,X,0.22,0.735,0.737623762,0.18424999999999997,0.07574999999999998,-0.004750000000000009
0,0,0,XGBoost-C,9,W1,0.245,0.72,0.722772277,0.16749999999999995,0.095,0.011499999999999988
0,0,0,XGBoost-C,9,W2,0.2925,0.66,0.661691542,0.10175000000000001,0.056750000000000037,0.011000000000000043
0,0,0,MLP-C,9,X,0.2225,0.7775,0.774683544,0.21549999999999997,0.07824999999999997,0.005249999999999977
0,0,0,MLP-C,9,W1,0.24,0.76,0.747368421,0.19449999999999998,0.09725,0.01499999999999999
0,0,0,MLP-C,9,W2,0.3,0.7,0.698492462,0.13099999999999995,0.08949999999999995,0.006749999999999978
0,0,0,LogReg,10,X,0.205,0.795,0.805687204,0.24150000000000005,0.09850000000000005,0.0042500000000000315
0,0,0,LogReg,10,W1,0.2225,0.7775,0.788598575,0.20999999999999996,0.08799999999999997,0.011249999999999982
0,0,0,LogReg,10,W2,0.275,0.725,0.736842105,0.15525,0.10149999999999997,0.004749999999999988
0,0,0,SVC,10,X,0.2025,0.7725,0.78177458,0.21874999999999994,0.07999999999999997,-0.017500000000000036
0,0,0,SVC,10,W1,0.215,0.7725,0.780722892,0.21399999999999997,0.08399999999999995,0.007999999999999985
0,0,0,SVC,10,W2,0.2775,0.7025,0.714628297,0.133,0.0795,-0.011249999999999972
0,0,0,RF-C,10,X,0.2125,0.7875,0.79616307,0.23224999999999993,0.10199999999999995,0.004249999999999976
