Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
1,1,0,RF-C,1,W1,0.22,0.78,0.834170854,0.19966666666666671,0.06516666666666669,0.011666666666666691
1,1,0,RF-C,1,W2,0.238333333,0.761666667,0.810596026,0.18283333333333338,0.05500000000000005,0.01700000000000005
1,1,0,RF-C,1,X1,0.193333333,0.806666667,0.855361596,0.24783333333333327,0.02583333333333333,-0.0011666666666666937
1,1,0,RF-C,1,X2,0.168333333,0.831666667,0.866225166,0.254,0.04166666666666667,0.006333333333333335
1,1,0,XGBoost-C,1,W1,0.216666667,0.751666667,0.806241873,0.17116666666666674,0.06650000000000003,0.00733333333333337
1,1,0,XGBoost-C,1,W2,0.241666667,0.731666667,0.785619174,0.16416666666666668,0.04800000000000003,0.011666666666666691
1,1,0,XGBoost-C,1,X1,0.188333333,0.78,0.829015544,0.20900000000000002,0.04916666666666668,-0.00516666666666663
1,1,0,XGBoost-C,1,X2,0.166666667,0.803333333,0.838797814,0.23350000000000004,0.040833333333333346,0.006666666666666687
1,1,0,MLP-C,1,W1,0.22,0.78,0.832911392,0.213,0.06233333333333335,0.0063333333333333575
1,1,0,MLP-C,1,W2,0.24,0.76,0.808,0.17983333333333335,0.06216666666666668,0.005666666666666686
1,1,0,MLP-C,1,X1,0.191666667,0.808333333,0.849279161,0.2585,0.04700000000000002,0.0
1,1,0,MLP-C,1,X2,0.158333333,0.841666667,0.871447903,0.26566666666666666,0.06783333333333336,0.002666666666666662
1,1,0,LogReg,2,W1,0.221666667,0.778333333,0.828387097,0.1958333333333333,0.050999999999999976,-0.0003333333333333299
1,1,0,LogReg,2,W2,0.256666667,0.743333333,0.801546392,0.17099999999999999,0.049333333333333305,0.0001666666666666261
1,1,0,LogReg,2,X1,0.196666667,0.803333333,0.847150259,0.23133333333333334,0.04650000000000003,-0.0011666666666666603
1,1,0,LogReg,2,X2,0.173333333,0.826666667,0.861333333,0.25816666666666666,0.06633333333333333,0.002499999999999991
1,1,0,SVC,2,W1,0.228333333,0.758333333,0.818523154,0.16899999999999996,0.03066666666666664,-0.01050000000000002
1,1,0,SVC,2,W2,0.26,0.738333333,0.800508259,0.16549999999999992,0.03799999999999996,-0.0021666666666666943
1,1,0,SVC,2,X1,0.193333333,0.803333333,0.849104859,0.2305,0.04466666666666669,-0.00033333333333335213
1,1,0,SVC,2,X2,0.178333333,0.81,0.851174935,0.23850000000000002,0.048333333333333395,-0.007499999999999951
1,1,0,RF-C,2,W1,0.23,0.77,0.826633166,0.18583333333333335,0.03500000000000001,0.004833333333333334
1,1,0,RF-C,2,W2,0.25,0.75,0.809160305,0.18316666666666664,0.04183333333333331,0.0040000000000000036
1,1,0,RF-C,2,X1,0.186666667,0.813333333,0.858227848,0.24866666666666673,0.03566666666666668,0.0005000000000000449
1,1,0,RF-C,2,X2,0.173333333,0.826666667,0.864583333,0.2576666666666666,0.058666666666666666,0.014666666666666661
1,1,0,XGBoost-C,2,W1,0.226666667,0.731666667,0.795944233,0.14850000000000002,0.02200000000000003,-0.007833333333333314
1,1,0,XGBoost-C,2,W2,0.251666667,0.741666667,0.798962387,0.17416666666666672,0.06250000000000003,0.02566666666666668
1,1,0,XGBoost-C,2,X1,0.191666667,0.771666667,0.820915033,0.20266666666666663,0.02966666666666661,-0.0068333333333333805
1,1,0,XGBoost-C,2,X2,0.171666667,0.803333333,0.844736842,0.23666666666666666,0.04933333333333334,0.01133333333333334
1,1,0,MLP-C,2,W1,0.22,0.78,0.829457364,0.19933333333333336,0.05266666666666668,0.0025000000000000356
1,1,0,MLP-C,2,W2,0.255,0.745,0.801040312,0.17616666666666667,0.04999999999999999,0.0030000000000000027
1,1,0,MLP-C,2,X1,0.188333333,0.811666667,0.852672751,0.24499999999999994,0.059333333333333314,0.0064999999999999945
1,1,0,MLP-C,2,X2,0.173333333,0.826666667,0.860962567,0.26166666666666666,0.06566666666666666,0.004666666666666652
1,1,0,LogReg,3,W1,0.211666667,0.788333333,0.837803321,0.21200000000000002,0.059833333333333315,0.004166666666666663
1,1,0,LogReg,3,W2,0.228333333,0.771666667,0.833939394,0.16633333333333328,0.04083333333333326,0.0053333333333332785
1,1,0,LogReg,3,X1,0.166666667,0.833333333,0.869451697,0.274,0.06300000000000001,0.002000000000000035
1,1,0,LogReg,3,X2,0.158333333,0.841666667,0.878361076,0.2543333333333333,0.05666666666666668,0.0008333333333333304
1,1,0,SVC,3,W1,0.215,0.78,0.833333333,0.20700000000000002,0.04750000000000002,0.005500000000000038
