Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,R2,Imp_F,Imp_Z1,Imp_Z2
0,0,0,SVR,9,X,0.007326671,0.992564687,1.0398380983534476,0.9858751151917394,0.0007550032304367238
0,0,0,SVR,9,W1,0.197025687,0.800052747,0.6395367543692785,1.0443459590374213,5.302011798943296e-05
0,0,0,SVR,9,W2,0.392386643,0.601794911,0.2771957291683374,0.9891338336801996,-0.0001638983544109407
0,0,0,RF-R,9,X,0.00974507,0.990110427,1.0162176730802213,0.9608308404139393,0.0006110508606404497
0,0,0,RF-R,9,W1,0.210778022,0.786096488,0.6444023225981959,0.9934686828797037,0.0020256516570599905
0,0,0,RF-R,9,W2,0.411222905,0.582679338,0.21715270166032868,0.9232019002484527,0.007456586298174106
0,0,0,XGBoost-R,9,X,0.006146436,0.992106294,1.0472741482762853,0.9936308244592068,0.0004067622372686985
0,0,0,XGBoost-R,9,W1,0.200790577,0.725841397,0.6578989136787975,1.01209740720916,-0.011122139101496297
0,0,0,XGBoost-R,9,W2,0.409905128,0.425073655,0.24980980098037614,0.9790399939982976,-0.009456623040600253
0,0,0,MLP-R,9,X,0.005009199,0.994916523,1.0407152320127644,0.9854052442630902,-1.0399381422288024e-05
0,0,0,MLP-R,9,W1,0.196742702,0.800339929,0.660025128559291,1.0419208654779648,-0.0001244682861121338
0,0,0,MLP-R,9,W2,0.391440458,0.602755127,0.2289606486144614,0.9776943376506143,0.0026530773598683168
0,0,0,MLR,10,X,0.004693964,0.995438095,0.9478690055192878,1.0010153954053005,-1.7594366103423908e-05
0,0,0,MLR,10,W1,0.175571699,0.829367799,0.579915653940046,1.0288144363691916,-0.0007687950108512864
0,0,0,MLR,10,W2,0.447661114,0.564933291,0.11909079840871399,0.9889125879276415,-0.0007461710016463674
0,0,0,SVR,10,X,0.004675477,0.995456062,0.9455033870256171,1.0019281720449302,-1.0167039272945821e-05
0,0,0,SVR,10,W1,0.174312199,0.830591864,0.5932720643815012,1.0177255653299124,-0.0001629307528198787
0,0,0,SVR,10,W2,0.447005942,0.56557003,0.12001142718246763,1.0047371784521215,-0.0003142122197791641
0,0,0,RF-R,10,X,0.009555658,0.990713179,0.9256413230347608,0.9653179910370163,-0.0001697128123364311
0,0,0,RF-R,10,W1,0.198331994,0.807247837,0.5363232367710442,0.9489663218282484,-0.0060151931238570655
0,0,0,RF-R,10,W2,0.473493289,0.539827873,0.10513496019870297,0.9209648982296841,0.008124980983971653
0,0,0,XGBoost-R,10,X,0.005678075,0.993523144,0.943351797759707,1.003257124215421,0.00037207505760542545
0,0,0,XGBoost-R,10,W1,0.183544186,0.749255507,0.5706259834820409,1.0095950068756536,-0.013562037150323836
0,0,0,XGBoost-R,10,W2,0.450834459,0.432696905,0.09901259310050617,0.9531644084630813,0.008733383089352486
0,0,0,MLP-R,10,X,0.004684516,0.995447277,0.9478730789081382,1.0009171768774023,-1.487441604639539e-05
0,0,0,MLP-R,10,W1,0.175456429,0.829479825,0.5792752573093009,1.0287922675093264,-0.0007027622521566968
0,0,0,MLP-R,10,W2,0.447648345,0.5649457,0.11907888470229222,0.9889744625762941,-0.0007398683388788796
0,0,1,MLR,1,X,0.002384804,0.997545515,0.1234928606782153,1.9790109083117258,4.897006302506668e-06
0,0,1,MLR,1,W1,0.023628025,0.975681592,0.08101166982875466,1.958985420826919,-1.6587607262552596e-05
0,0,1,MLR,1,W2,0.054948659,0.943445804,0.01998748847157674,1.9056324841844947,0.0
0,0,1,SVR,1,X,0.00278989,0.997128593,0.12914232557433256,1.9915517255266857,-2.1452866831328522e-05
0,0,1,SVR,1,W1,0.027899966,0.971284829,0.07551168474654604,1.9370421345776339,-0.0023010658115955153
0,0,1,SVR,1,W2,0.058821894,0.939459397,0.010547017225911115,1.8979343403921713,-0.0018939764244590984
0,0,1,RF-R,1,X,0.010831108,0.988852419,0.11718143380397147,1.8910231081047022,-0.0024650031604049995
0,0,1,RF-R,1,W1,0.037371016,0.961537046,0.07485511513103851,1.8627649803076654,-0.006311212043816894
0,0,1,RF-R,1,W2,0.06655695,0.931498333,0.022644255955091674,1.8083567581759812,-0.0029814229404142136
0,0,1,XGBoost-R,1,X,0.003051331,0.994984975,0.11979032671897143,1.9870562834007024,7.482921965559219e-05
0,0,1,XGBoost-R,1,W1,0.025163615,0.96680308,0.07871336938453063,1.9740991122519234,1.8624827302682333e-05
0,0,1,XGBoost-R,1,W2,0.056896739,0.925565323,0.018110263548807026,1.9207450066651532,3.080248859496093e-05
0,0,1,MLP-R,1,X,0.002379003,0.997551485,0.12363697660845444,1.9775158450391495,6.6401796941284456e-06
0,0,1,MLP-R,1,W1,0.023627211,0.975682429,0.08099627954112204,1.9589335321880796,-1.6515442930065127e-05
0,0,1,MLP-R,1,W2,0.054993371,0.943399785,0.020100459659756265,1.9015908275408013,-0.00015567092654860114
0,0,1,MLR,2,X,0.002347475,0.997812133,0.11158834663237682,1.8945297299671258,2.779222478554999e-06
0,0,1,MLR,2,W1,0.027417065,0.974447058,0.07044306406796609,1.9170653944096128,5.279161579565539e-05
0,0,1,MLR,2,W2,0.050373656,0.953051317,0.02355486093238095,1.8802090367789313,0.00016762741362794654
0,0,1,SVR,2,X,0.002339985,0.997819114,0.11187897963054368,1.894026933800977,2.41251097059525e-06
0,0,1,SVR,2,W1,0.027320175,0.974537361,0.06793827875473417,1.9204034734788427,6.437920283053344e-05
0,0,1,SVR,2,W2,0.05060295,0.952837613,0.02057877956985251,1.8811534164044403,0.00017899530482492487
0,0,1,RF-R,2,X,0.017615732,0.983581985,0.10477361084904953,1.7952237954083006,0.002894077208871082
0,0,1,RF-R,2,W1,0.045075202,0.957989521,0.06769921579076389,1.827510376207739,0.004632019443628776
0,0,1,RF-R,2,W2,0.072069507,0.932830596,0.018588205239870502,1.7882400065985486,0.004105383672928153
0,0,1,XGBoost-R,2,X,0.012362707,0.985857942,0.10842038803844967,1.8655437977858562,0.0021506856848643287
0,0,1,XGBoost-R,2,W1,0.038314281,0.956012259,0.06696320256120689,1.8952229173241772,0.002644473056235175
0,0,1,XGBoost-R,2,W2,0.063783821,0.929740537,0.020270860929954438,1.8674304358500966,0.002358889877063641
0,0,1,MLP-R,2,X,0.002342249,0.997817003,0.11190883944916026,1.8908809144204735,1.9339406082341527e-06
0,0,1,MLP-R,2,W1,0.027412793,0.97445104,0.07045093881527248,1.9172891038151292,5.648791812468135e-05
0,0,1,MLP-R,2,W2,0.05008978,0.953315891,0.023997384941470336,1.8808576122549536,0.0009460659657140158
0,0,1,MLR,3,X,0.002396664,0.997828571,0.10632675721947953,1.8541193045113626,-1.972170714292787e-06
0,0,1,MLR,3,W1,0.024180633,0.978091823,0.06492242348379498,1.8450933362866704,0.0
